"id","name","file","file_size","map_type","analysis_level","modality","target_template_image","description"
"838582","PIP Subject0020 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0020_LookNeg_Beta.nii.gz","1864487","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838583","PIP Subject0020 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0020_LookNeu_Beta.nii.gz","1864104","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838584","PIP Subject0020 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0020_RegNeg_Beta.nii.gz","1864799","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838585","PIP Subject0021 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0021_LookNeg_Beta.nii.gz","1870247","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838586","PIP Subject0021 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0021_LookNeu_Beta.nii.gz","1869424","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838587","PIP Subject0021 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0021_RegNeg_Beta.nii.gz","1869435","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838588","PIP Subject0022 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0022_LookNeg_Beta.nii.gz","1981525","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838589","PIP Subject0022 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0022_LookNeu_Beta.nii.gz","1982033","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838590","PIP Subject0022 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0022_RegNeg_Beta.nii.gz","1981404","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838591","PIP Subject0023 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0023_LookNeg_Beta.nii.gz","1931434","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838592","PIP Subject0023 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0023_LookNeu_Beta.nii.gz","1929946","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838593","PIP Subject0023 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0023_RegNeg_Beta.nii.gz","1931525","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838594","PIP Subject0024 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0024_LookNeg_Beta.nii.gz","1930178","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838595","PIP Subject0024 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0024_LookNeu_Beta.nii.gz","1930343","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838596","PIP Subject0024 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0024_RegNeg_Beta.nii.gz","1930650","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838597","PIP Subject0025 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0025_LookNeg_Beta.nii.gz","1961983","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838598","PIP Subject0025 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0025_LookNeu_Beta.nii.gz","1962493","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838599","PIP Subject0025 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0025_RegNeg_Beta.nii.gz","1961535","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
