dataset,subject,Age,Sex,ERQReappraisal,ERQSuppression,strategy1_reappraise_yn_final,strategy1_best_fit_final,reg_rating,look_neg_rating,look_neu_rating,reg_success,emotion_reactivity
AHAB,75,52.1917808219178,1,26,11,1,4,2.53333333333333,2.92857142857143,1,0.3952380952381,1.92857142857143
AHAB,76,46.8356164383562,1,33,14,1,1,3,3.23076923076923,1.07692307692308,0.23076923076923,2.15384615384615
AHAB,77,31.2958904109589,-1,30,18,0,9,2.78571428571429,2.38461538461538,1.2,-0.40109890109891,1.18461538461538
AHAB,78,45.4739726027397,1,27,12,1,4,3.26666666666667,3.33333333333333,1.35714285714286,0.0666666666666598,1.97619047619047
AHAB,79,41.227397260274,-1,28,13,1,8,2,2,1.21428571428571,0,0.78571428571429
AHAB,80,43.9698630136986,-1,30,17,1,1,2.14285714285714,2.6,1.06666666666667,0.45714285714286,1.53333333333333
AHAB,81,48.5287671232877,1,25,23,1,1,4.26666666666667,4.2,1.14285714285714,-0.06666666666667,3.05714285714286
AHAB,82,45.372602739726,1,33,7,1,3,2.76923076923077,4.69230769230769,1,1.92307692307692,3.69230769230769
AHAB,83,42.1013698630137,1,36,7,1,1,2.57142857142857,3.86666666666667,1.13333333333333,1.2952380952381,2.73333333333334
AHAB,84,49.7671232876712,-1,27,10,1,2,2.53333333333333,4.53333333333333,1.73333333333333,2,2.8
AHAB,85,55.2164383561644,1,30,19,1,1,3.93333333333333,4.33333333333333,1.54545454545455,0.4,2.78787878787878
AHAB,86,32.986301369863,-1,17,8,1,1,3,2.8,1,-0.2,1.8
AHAB,87,53.7698630136986,1,32,16,1,1,2.57142857142857,2.85714285714286,1.15384615384615,0.28571428571429,1.70329670329671
AHAB,88,54.1643835616438,1,30,12,1,4,4.28571428571429,4.42857142857143,1.07692307692308,0.14285714285714,3.35164835164835
AHAB,89,35.2054794520548,1,37,9,1,2,2.2,3.73333333333333,1.07142857142857,1.53333333333333,2.66190476190476
AHAB,90,31.0602739726027,1,35,18,1,1,3.21428571428571,4.14285714285714,1.06666666666667,0.92857142857143,3.07619047619047
AHAB,91,44.758904109589,-1,25,21,1,3,2.66666666666667,2.72727272727273,1,0.0606060606060601,1.72727272727273
AHAB,92,38.1232876712329,-1,34,16,1,8,3.30769230769231,3.6,1.13333333333333,0.29230769230769,2.46666666666667
AHAB,93,30.6438356164384,-1,17,20,1,1,2.4,3.73333333333333,1,1.33333333333333,2.73333333333333
AHAB,94,34.3150684931507,1,25,9,1,2,2.21428571428571,3.8,1,1.58571428571429,2.8
AHAB,95,35.5945205479452,-1,24,10,1,2,2.30769230769231,4.84615384615385,1.18181818181818,2.53846153846154,3.66433566433567
AHAB,96,53.7452054794521,1,36,6,1,1,3,3.5,1.21428571428571,0.5,2.28571428571429
AHAB,97,31.7041095890411,-1,27,12,1,1,2.2,2.53333333333333,1,0.33333333333333,1.53333333333333
AHAB,98,32.8465753424658,-1,11,23,1,8,1.6,2.13333333333333,1,0.53333333333333,1.13333333333333
AHAB,99,46.7095890410959,1,26,15,0,9,2.28571428571429,2.92857142857143,1,0.64285714285714,1.92857142857143
