SubID,Sample,Age,Sex,ERQReappraisal,ERQSuppression,strategy1_reappraise_yn_final,strategy1_best_fit_final,RegNeg_Rating,LookNeg_Rating,LookNeuRating
79,AHAB,41.227397260274,-1,28,13,1,8,2,2,1.21428571428571
80,AHAB,43.9698630136986,-1,30,17,1,1,2.14285714285714,2.6,1.06666666666667
81,AHAB,48.5287671232877,1,25,23,1,1,4.26666666666667,4.2,1.14285714285714
82,AHAB,45.372602739726,1,33,7,1,3,2.76923076923077,4.69230769230769,1
83,AHAB,42.1013698630137,1,36,7,1,1,2.57142857142857,3.86666666666667,1.13333333333333
84,AHAB,49.7671232876712,-1,27,10,1,2,2.53333333333333,4.53333333333333,1.73333333333333
85,AHAB,55.2164383561644,1,30,19,1,1,3.93333333333333,4.33333333333333,1.54545454545455
86,AHAB,32.986301369863,-1,17,8,1,1,3,2.8,1
87,AHAB,53.7698630136986,1,32,16,1,1,2.57142857142857,2.85714285714286,1.15384615384615
88,AHAB,54.1643835616438,1,30,12,1,4,4.28571428571429,4.42857142857143,1.07692307692308
89,AHAB,35.2054794520548,1,37,9,1,2,2.2,3.73333333333333,1.07142857142857
90,AHAB,31.0602739726027,1,35,18,1,1,3.21428571428571,4.14285714285714,1.06666666666667
91,AHAB,44.758904109589,-1,25,21,1,3,2.66666666666667,2.72727272727273,1
92,AHAB,38.1232876712329,-1,34,16,1,8,3.30769230769231,3.6,1.13333333333333
93,AHAB,30.6438356164384,-1,17,20,1,1,2.4,3.73333333333333,1
94,AHAB,34.3150684931507,1,25,9,1,2,2.21428571428571,3.8,1
95,AHAB,35.5945205479452,-1,24,10,1,2,2.30769230769231,4.84615384615385,1.18181818181818
96,AHAB,53.7452054794521,1,36,6,1,1,3,3.5,1.21428571428571
97,AHAB,31.7041095890411,-1,27,12,1,1,2.2,2.53333333333333,1
98,AHAB,32.8465753424658,-1,11,23,1,8,1.6,2.13333333333333,1
99,AHAB,46.7095890410959,1,26,15,0,9,2.28571428571429,2.92857142857143,1
100,AHAB,30.4109589041096,-1,26,24,1,1,2.33333333333333,3,1
101,AHAB,43.2821917808219,-1,31,14,1,1,1.86666666666667,3.4,1
102,AHAB,42.6547945205479,-1,34,19,1,3,3.13333333333333,3.93333333333333,1.2
103,AHAB,34.7424657534247,-1,18,21,1,1,3.33333333333333,4.2,1.53846153846154
104,AHAB,32.4849315068493,-1,25,23,1,1,2.92857142857143,3.6,1
105,AHAB,51.9534246575342,1,36,14,1,1,3.69230769230769,3.92857142857143,1.28571428571429
106,AHAB,54.2246575342466,-1,27,14,1,2,2.76923076923077,3.25,1
107,AHAB,35.5178082191781,-1,24,20,1,2,2.33333333333333,3,1
108,AHAB,47.0219178082192,1,31,10,1,3,3,3.93333333333333,1.33333333333333
109,AHAB,49.4849315068493,1,42,26,0,9,2.06666666666667,2.8,1.06666666666667
110,AHAB,41.427397260274,1,26,11,1,1,2.93333333333333,4.06666666666667,1.26666666666667
