SubID,Sample,Age,Sex,ERQReappraisal,ERQSuppression,strategy1_reappraise_yn_final,strategy1_best_fit_final,RegNeg_Rating,LookNeg_Rating,LookNeuRating
89,PIP,48.9835616438356,-1,29,22,1,5,3,3,1
90,PIP,42.2547945205479,1,36,10,1,1,3.26666666666667,3.53333333333333,1.13333333333333
91,PIP,41.0219178082192,-1,39,14,0,2,1.6,3.4,1.2
92,PIP,45.1972602739726,1,24,12,1,0,2.8,3.8,2.4
93,PIP,45.6767123287671,-1,32,19,1,0,2.57142857142857,3.92857142857143,1.06666666666667
94,PIP,30.7342465753425,1,24,14,1,8,2.8,4.30769230769231,1.33333333333333
95,PIP,31.1917808219178,1,42,17,1,1,4.13333333333333,4.5,1.06666666666667
96,PIP,44.627397260274,-1,33,14,1,2,3.93333333333333,3.93333333333333,1
97,PIP,31.758904109589,-1,30,13,1,2,3.13333333333333,4.06666666666667,1.2
98,PIP,44.5506849315069,1,36,14,1,2,2.5,3.42857142857143,1.44444444444444
99,PIP,47.8493150684931,1,10,5,1,4,4.2,4,1.13333333333333
100,PIP,36.5972602739726,-1,23,20,1,2,2.66666666666667,3.73333333333333,1.33333333333333
101,PIP,34.6602739726027,-1,35,18,1,2,2.64285714285714,3.64285714285714,1.4
102,PIP,31.5643835616438,-1,34,12,1,3,2.8,3.13333333333333,1.4
103,PIP,32.4520547945205,-1,42,21,1,2,3.06666666666667,3.93333333333333,1.13333333333333
104,PIP,46.6054794520548,1,31,22,1,3,3.42857142857143,3.33333333333333,1.13333333333333
105,PIP,47.2520547945205,-1,33,21,0,9,4.4,4.46666666666667,1.42857142857143
106,PIP,32.2821917808219,1,24,8,1,1,3.18181818181818,4,1.26666666666667
107,PIP,32.9315068493151,-1,27,20,1,2,2.13333333333333,4,1.33333333333333
108,PIP,39.2301369863014,1,30,16,1,2,2.38461538461538,3.41666666666667,1.07142857142857
109,PIP,47.6082191780822,1,35,16,1,2,3.4,3.93333333333333,1.06666666666667
110,PIP,47.3397260273973,1,33,9,1,4,3.5,4.4,1.06666666666667
111,PIP,31.6438356164384,-1,24,14,1,8,2.73333333333333,2.86666666666667,1
112,PIP,47.5643835616438,-1,26,17,0,9,5,4.8,1.4
113,PIP,34.5890410958904,1,23,7,1,1,3.73333333333333,3.92857142857143,1.13333333333333
114,PIP,43.6547945205479,1,27,13,1,1,3.8,4.53333333333333,1.2
